age_bin,vax_code,count,deaths,death_rate,ci_low,ci_high
0-0,CO16,5,0,0.0,0.0,0.43448246478317487
0-0,CO23,3,0,0.0,0.0,0.5614970317550455
1-1,0,101650,230,0.002262666010821446,0.001988788477845384,0.002574162141276996
1-1,CO01,1,0,0.0,0.0,0.7934506856227627
1-1,CO16,20,0,0.0,0.0,0.1611251580528194
1-1,CO23,5,0,0.0,0.0,0.43448246478317487
10-10,0,102299,21,0.0002052805990283385,0.00013427652297143665,0.000313819132701494
10-10,CO01,7325,0,0.0,0.0,0.0005241563543540303
10-10,CO09,2,0,0.0,0.0,0.657619772493347
10-10,CO21,3,0,0.0,0.0,0.5614970317550455
100-100,0,1739,1235,0.7101782633697528,0.6884105182756906,0.7310194856987595
100-100,CO01,756,384,0.5079365079365079,0.47234944898101905,0.543443319182256
100-100,CO02,154,83,0.538961038961039,0.4602418898571749,0.6157837632865397
100-100,CO03,175,85,0.4857142857142857,0.41277065946101177,0.5592716173523696
100-100,CO04,48,26,0.5416666666666666,0.40291074545649797,0.6742475770713254
100-100,CO08,1,0,0.0,0.0,0.7934506856227627
100-100,CO20,1,0,0.0,0.0,0.7934506856227627
100-100,CO21,1,0,0.0,0.0,0.7934506856227627
101-101,0,1151,831,0.7219808861859253,0.6953922647428298,0.747092715422175
101-101,CO01,437,243,0.5560640732265446,0.5091931015089584,0.6019579688351993
101-101,CO02,98,54,0.5510204081632653,0.4524754605807967,0.6457163771618889
101-101,CO03,92,51,0.5543478260869565,0.45263705969950174,0.6517019197259741
101-101,CO04,18,9,0.5,0.29031021505169974,0.7096897849483003
102-102,0,770,487,0.6324675324675325,0.597834087389826,0.665785802284848
102-102,CO01,260,141,0.5423076923076923,0.4815730762751975,0.6018103316938703
102-102,CO02,45,28,0.6222222222222222,0.47629934480889535,0.7489191532786209
102-102,CO03,49,31,0.6326530612244898,0.4926706756079242,0.7533482703131686
102-102,CO04,7,3,0.42857142857142855,0.15821985525146964,0.7495416354723428
103-103,0,420,267,0.6357142857142857,0.5886537160513563,0.6803147806058516
103-103,CO01,129,76,0.5891472868217055,0.5028661010486245,0.6702726178737927
103-103,CO02,23,10,0.43478260869565216,0.25634635325674204,0.6318862491498353
103-103,CO03,21,13,0.6190476190476191,0.4087865377511576,0.7924898863143551
103-103,CO04,5,3,0.6,0.2307242812760129,0.8823792257673522
104-104,0,183,94,0.5136612021857924,0.44171276414366256,0.5850478918240173
104-104,CO01,59,33,0.559322033898305,0.43289354829158677,0.6784978823238792
104-104,CO02,13,8,0.6153846153846154,0.3552289151266569,0.8229029220223744
104-104,CO03,13,11,0.8461538461538461,0.5776536898051745,0.9567418216419188
104-104,CO04,1,1,1.0,0.2065493143772374,1.0
104-104,CO20,1,0,0.0,0.0,0.7934506856227627
105-105,0,93,49,0.5268817204301075,0.4263701891771973,0.6252605902522793
