age_bin,vax_code,count,deaths,death_rate,ci_low,ci_high
0-0,CO16,5,0,0.0,0.0,0.43448246478317487
0-0,CO23,3,0,0.0,0.0,0.5614970317550455
1-1,0,101650,10197,0.10031480570585342,0.09848307284023207,0.10217674646510845
1-1,CO01,1,0,0.0,0.0,0.7934506856227627
1-1,CO16,20,4,0.2,0.080657662579798,0.4160174322518936
1-1,CO23,5,0,0.0,0.0,0.43448246478317487
10-10,0,102299,10237,0.10006940439300482,0.09824545493066449,0.10192338854240278
10-10,CO01,7325,804,0.10976109215017064,0.10280609641483748,0.11712518029203517
10-10,CO09,2,0,0.0,0.0,0.657619772493347
10-10,CO21,3,0,0.0,0.0,0.5614970317550455
100-100,0,1739,181,0.10408280621046578,0.09059244525693987,0.11931847748886355
100-100,CO01,756,72,0.09523809523809523,0.07631257748830025,0.11825624618466737
100-100,CO02,154,14,0.09090909090909091,0.054925293449259956,0.14680534854173696
100-100,CO03,175,24,0.13714285714285715,0.0939218226100164,0.19595200844987337
100-100,CO04,48,6,0.125,0.058570514385719794,0.2470045828638684
100-100,CO08,1,0,0.0,0.0,0.7934506856227627
100-100,CO20,1,0,0.0,0.0,0.7934506856227627
100-100,CO21,1,0,0.0,0.0,0.7934506856227627
101-101,0,1151,137,0.11902693310165074,0.10157495447125586,0.13901344551952854
101-101,CO01,437,40,0.09153318077803203,0.06793973872869853,0.1222453201924394
101-101,CO02,98,3,0.030612244897959183,0.010464891082493696,0.08617020168479832
101-101,CO03,92,14,0.15217391304347827,0.09286540270143616,0.2393651289755181
101-101,CO04,18,4,0.2222222222222222,0.09000928108601691,0.45214584316212625
102-102,0,770,78,0.1012987012987013,0.08192751953281166,0.12462830272086631
102-102,CO01,260,26,0.1,0.06915929018586983,0.14248848901566882
102-102,CO02,45,6,0.13333333333333333,0.06257148747568075,0.2617730182617707
102-102,CO03,49,10,0.20408163265306123,0.1148184960578213,0.3363700091951255
102-102,CO04,7,1,0.14285714285714285,0.02567962434474355,0.5131278292743189
103-103,0,420,42,0.1,0.07483557767166149,0.13241516902288358
103-103,CO01,129,13,0.10077519379844961,0.05984335089657648,0.16479629914651234
103-103,CO02,23,3,0.13043478260869565,0.04537659093631238,0.32127482270095964
103-103,CO03,21,3,0.14285714285714285,0.04981012499725268,0.34636060280620945
103-103,CO04,5,0,0.0,0.0,0.43448246478317487
104-104,0,183,25,0.1366120218579235,0.09427510635729118,0.19389144490242732
104-104,CO01,59,8,0.13559322033898305,0.0703417467253372,0.245396608065373
104-104,CO02,13,3,0.23076923076923078,0.08179528718498563,0.502563759467275
104-104,CO03,13,3,0.23076923076923078,0.08179528718498563,0.502563759467275
104-104,CO04,1,0,0.0,0.0,0.7934506856227627
104-104,CO20,1,1,1.0,0.2065493143772374,1.0
105-105,0,93,7,0.07526881720430108,0.03693668398168047,0.1472970010325892
